id_check,key,value
19000,cis,1.1.1.1
19000,cis_csc,5.1
19000,pci_dss,2.2.5
19000,tsc,CC6.3
19001,cis,1.1.1.2
19001,cis_csc,5.1
19001,pci_dss,2.2.5
19001,tsc,CC6.3
19002,cis,1.1.1.3
19002,cis_csc,5.1
19002,pci_dss,2.2.5
19002,tsc,CC6.3
19003,cis,1.1.1.4
19003,cis_csc,5.1
19003,pci_dss,2.2.5
19003,tsc,CC6.3
19004,cis,1.1.1.5
19004,cis_csc,5.1
19004,pci_dss,2.2.5
19004,tsc,CC6.3
19005,cis,1.1.1.7
19005,cis_csc,5.1
19005,pci_dss,2.2.5
19005,tsc,CC6.3
19006,cis,1.1.2
19006,cis_csc,5.1
19006,pci_dss,2.2.4
19006,nist_800_53,CM.1
19006,tsc,CC5.2
19007,cis,1.1.3
19007,cis_csc,5.1
19007,pci_dss,2.2.4
19007,nist_800_53,CM.1
19007,tsc,CC5.2
19008,cis,1.1.4
19008,cis_csc,5.1
19008,pci_dss,2.2.4
19008,nist_800_53,CM.1
19008,tsc,CC5.2
19009,cis,1.1.5
19009,cis_csc,2.6
19009,pci_dss,2.2.4
19009,nist_800_53,CM.1
19009,tsc,CC5.2
19010,cis,1.1.6
19010,cis_csc,5.1
19010,pci_dss,2.2.4
19010,nist_800_53,CM.1
19010,tsc,CC5.2
19011,cis,1.1.7
19011,cis_csc,5.1
19011,pci_dss,2.2.4
19011,nist_800_53,CM.1
19011,tsc,CC5.2
19012,cis,1.1.8
19012,cis_csc,5.1
19012,pci_dss,2.2.4
19012,nist_800_53,CM.1
19012,tsc,CC5.2
19013,cis,1.1.9
19013,cis_csc,"2.6,8"
19013,pci_dss,2.2.4
19013,nist_800_53,CM.1
19013,tsc,CC5.2
19014,cis,1.1.10
19014,cis_csc,"5.1,13"
19014,pci_dss,2.2.4
19014,nist_800_53,CM.1
19014,tsc,CC5.2
19015,cis,1.1.11
19015,cis_csc,5.1
19015,pci_dss,2.2.4
19015,nist_800_53,CM.1
19015,tsc,CC5.2
19016,cis,1.1.12
19016,cis_csc,5.1
19016,pci_dss,2.2.4
19016,nist_800_53,CM.1
19016,tsc,CC5.2
19017,cis,1.1.13
19017,cis_csc,5.1
19017,pci_dss,2.2.4
19017,nist_800_53,CM.1
19017,tsc,CC5.2
19018,cis,1.1.14
19018,cis_csc,2.6
19018,pci_dss,2.2.4
19018,nist_800_53,CM.1
19018,tsc,CC5.2
19019,cis,1.1.15
19019,cis_csc,6.4
19019,pci_dss,2.2.4
19019,nist_800_53,CM.1
19019,tsc,CC5.2
19020,cis,1.1.16
19020,cis_csc,6.4
19020,pci_dss,2.2.4
19020,nist_800_53,CM.1
19020,tsc,CC5.2
19021,cis,1.1.17
19021,cis_csc,5.1
19021,pci_dss,2.2.4
19021,nist_800_53,CM.1
19021,tsc,CC5.2
19022,cis,1.1.18
19022,cis_csc,5.1
19022,pci_dss,2.2.4
19022,nist_800_53,CM.1
19022,tsc,CC5.2
19023,cis,1.1.23
19023,cis_csc,"8.4,8.5"
19023,pci_dss,2.2.4
19023,nist_800_53,CM.1
19023,tsc,CC5.2
19024,cis,1.1.24
19024,cis_csc,"8.4,8.5"
19024,pci_dss,2.2.5
19024,nist_800_53,CM.1
19024,tsc,CC6.3
19025,cis,5.2.1
19025,cis_csc,4.3
19025,pci_dss,2.2.4
19025,nist_800_53,CM.1
19025,tsc,CC5.2
19026,cis,5.2.2
19026,cis_csc,4.3
19026,pci_dss,2.2.4
19026,nist_800_53,CM.1
19026,tsc,CC5.2
19027,cis,5.2.3
19027,cis_csc,6.3
19027,pci_dss,2.2.4
19027,nist_800_53,CM.1
19027,tsc,CC5.2
19028,cis,1.3.1
19028,cis_csc,14.9
19028,pci_dss,11.5
19028,tsc,"PI1.4,PI1.5,CC6.8,CC7.2,CC7.3,CC7.4"
19029,cis,1.3.2
19029,cis_csc,14.9
19029,pci_dss,11.5
19029,tsc,"PI1.4,PI1.5,CC6.8,CC7.2,CC7.3,CC7.4"
19030,cis,1.4.2
19030,cis_csc,5.1
19030,pci_dss,2.2.4
19030,nist_800_53,CM.1
19030,tsc,CC5.2
19031,cis,1.4.3
19031,cis_csc,5.1
19031,pci_dss,2.2.4
19031,nist_800_53,CM.1
19031,tsc,CC5.2
19032,cis,1.4.4
19032,cis_csc,5.1
19032,pci_dss,2.2.4
19032,nist_800_53,CM.1
19032,tsc,CC5.2
19033,cis,1.5.1
19033,cis_csc,8.3
19033,pci_dss,2.2.4
19033,nist_800_53,CM.1
19033,tsc,CC5.2
19034,cis,1.5.2
19034,cis_csc,8.3
19034,pci_dss,2.2.4
19034,nist_800_53,CM.1
19034,tsc,CC5.2
19035,cis,1.5.3
19035,cis_csc,14.9
19035,pci_dss,2.2.4
19035,nist_800_53,CM.1
19035,tsc,CC5.2
19036,cis,1.5.4
19036,cis_csc,13
19036,pci_dss,2.2.4
19036,nist_800_53,CM.1
19036,tsc,CC5.2
19037,cis,1.6.1.1
19037,cis_csc,14.6
19037,pci_dss,2.2.4
19037,nist_800_53,CM.1
19037,tsc,CC5.2
19038,cis,1.6.1.2
19038,cis_csc,14.6
19038,pci_dss,2.2.4
19038,nist_800_53,CM.1
19038,tsc,CC5.2
19039,cis,1.6.1.3
19039,cis_csc,14.6
19039,pci_dss,2.2.4
19039,nist_800_53,CM.1
19039,tsc,CC5.2
19040,cis,1.6.1.4
19040,cis_csc,14.6
19040,pci_dss,2.2.4
19040,nist_800_53,CM.1
19040,tsc,CC5.2
19041,cis,1.7.1
19041,cis_csc,5.1
19041,pci_dss,7.1
19041,tsc,CC6.4
19042,cis,1.7.2
19042,cis_csc,5.1
19042,pci_dss,7.1
19042,tsc,CC6.4
19043,cis,1.7.3
19043,cis_csc,5.1
19043,pci_dss,7.1
19043,tsc,CC6.4
19044,cis,1.7.4
19044,cis_csc,5.1
19044,pci_dss,10.2.5
19044,hipaa,164.312.b
19044,nist_800_53,"AU.14,AC.7"
19044,gpg_13,7.8
19044,gdpr_IV,"35.7,32.2"
19044,tsc,"CC6.1,CC6.8,CC7.2,CC7.3,CC7.4"
19045,cis,1.7.5
19045,cis_csc,5.1
19045,pci_dss,10.2.5
19045,hipaa,164.312.b
19045,nist_800_53,"AU.14,AC.7"
19045,gpg_13,7.8
19045,gdpr_IV,"35.7,32.2"
19045,tsc,"CC6.1,CC6.8,CC7.2,CC7.3,CC7.4"
19046,cis,1.7.6
19046,cis_csc,5.1
19046,pci_dss,10.2.5
19046,hipaa,164.312.b
19046,nist_800_53,"AU.14,AC.7"
19046,gpg_13,7.8
19046,gdpr_IV,"35.7,32.2"
19046,tsc,"CC6.1,CC6.8,CC7.2,CC7.3,CC7.4"
19047,cis,1.9
19047,cis_csc,"3.4,3.5"
19047,pci_dss,5.2
19047,nist_800_53,"AU.6,SI.4"
19047,gpg_13,4.2
19047,gdpr_IV,35.7.d
19047,hipaa,164.312.b
19047,tsc,A1.2
19048,cis,1.8.2
19048,cis_csc,5.1
19048,pci_dss,2.2.2
19048,nist_800_53,CM.1
19048,tsc,CC5.2
19049,cis,2.1.1.1
19049,cis_csc,6.1
19049,pci_dss,10.4
19049,nist_800_53,AU.8
19049,tsc,"CC6.1,CC6.8,CC7.2,CC7.3,CC7.4"
19050,cis,2.1.1.2
19050,cis_csc,6.1
19050,pci_dss,2.2.2
19050,nist_800_53,CM.1
19050,tsc,CC5.2
19051,cis,2.1.1.3
19051,cis_csc,6.1
19051,pci_dss,2.2.2
19051,nist_800_53,CM.1
19051,tsc,CC5.2
19052,cis,2.1.1.4
19052,cis_csc,6.1
19052,pci_dss,2.2.2
19052,nist_800_53,CM.1
19052,tsc,CC5.2
19053,cis,2.1.2
19053,cis_csc,2.6
19053,pci_dss,2.2.2
19053,nist_800_53,CM.1
19053,tsc,"CC5.2,CC6.1,CC6.8,CC7.1,CC7.2,CC8.1"
19054,cis,2.1.3
19054,cis_csc,9.2
19054,pci_dss,2.2.2
19054,nist_800_53,CM.1
19054,tsc,CC5.2
19055,cis,2.1.4
19055,cis_csc,9.2
19055,pci_dss,2.2.2
19055,nist_800_53,CM.1
19055,tsc,CC5.2
19056,cis,2.1.5
19056,cis_csc,9.2
19056,pci_dss,2.2.2
19056,nist_800_53,CM.1
19056,tsc,CC5.2
19057,cis,2.1.6
19057,cis_csc,9.2
19057,pci_dss,2.2.2
19057,nist_800_53,CM.1
19057,tsc,CC5.2
19058,cis,2.1.7
19058,cis_csc,9.2
19058,pci_dss,2.2.2
19058,nist_800_53,CM.1
19058,tsc,CC5.2
19059,cis,2.1.8
19059,cis_csc,9.2
19059,pci_dss,2.2.2
19059,nist_800_53,CM.1
19059,tsc,CC5.2
19060,cis,2.1.9
19060,cis_csc,9.2
19060,pci_dss,2.2.2
19060,nist_800_53,CM.1
19060,tsc,CC5.2
19061,cis,2.1.10
19061,cis_csc,9.2
19061,pci_dss,2.2.2
19061,nist_800_53,CM.1
19061,tsc,CC5.2
19062,cis,2.1.11
19062,cis_csc,9.2
19062,pci_dss,2.2.2
19062,nist_800_53,CM.1
19062,tsc,CC5.2
19063,cis,2.1.12
19063,cis_csc,9.2
19063,pci_dss,2.2.2
19063,nist_800_53,CM.1
19063,tsc,CC5.2
19064,cis,2.1.13
19064,cis_csc,9.2
19064,pci_dss,2.2.2
19064,nist_800_53,CM.1
19064,tsc,CC5.2
19065,cis,2.1.14
19065,cis_csc,9.2
19065,pci_dss,2.2.2
19065,nist_800_53,CM.1
19065,tsc,CC5.2
19066,cis,2.1.15
19066,cis_csc,9.2
19066,pci_dss,2.2.2
19066,nist_800_53,"CM.1,AC.4,SC.7"
19066,tsc,"CC5.2,CC6.4,CC6.6,CC6.7"
19067,cis,2.1.16
19067,cis_csc,9.2
19067,pci_dss,2.2.2
19067,nist_800_53,CM.1
19068,cis,2.1.17
19068,cis_csc,9.2
19068,pci_dss,2.2.2
19068,nist_800_53,CM.1
19068,gpg_13,4.3
19068,gdpr_IV,35.7.d
19068,hipaa,164.312.b
19068,tsc,CC5.2
19069,cis,2.2.1
19069,cis_csc,2.6
19069,pci_dss,2.2.3
19069,nist_800_53,CM.1
19069,gpg_13,4.3
19069,gdpr_IV,35.7.d
19069,hipaa,164.312.b
19069,tsc,CC5.2
19070,cis,2.2.2
19070,cis_csc,4.5
19070,pci_dss,2.2.3
19070,nist_800_53,CM.1
19070,gpg_13,4.3
19070,gdpr_IV,35.7.d
19070,hipaa,164.312.b
19070,tsc,CC5.2
19071,cis,2.2.3
19071,cis_csc,2.6
19071,pci_dss,2.2.3
19071,nist_800_53,CM.1
19071,gpg_13,4.3
19071,gdpr_IV,35.7.d
19071,hipaa,164.312.b
19071,tsc,CC5.2
19072,cis,2.2.4
19072,cis_csc,4.5
19072,pci_dss,2.2.3
19072,nist_800_53,CM.1
19072,gpg_13,4.3
19072,gdpr_IV,35.7.d
19072,hipaa,164.312.b
19072,tsc,CC5.2
19073,cis,2.2.5
19073,cis_csc,2.6
19073,pci_dss,2.2.3
19073,nist_800_53,CM.1
19073,gpg_13,4.3
19073,gdpr_IV,35.7.d
19073,hipaa,164.312.b
19073,tsc,CC5.2
19074,cis,2.2.6
19074,cis_csc,9.2
19074,pci_dss,2.2.3
19074,nist_800_53,CM.1
19074,gpg_13,4.3
19074,gdpr_IV,35.7.d
19074,hipaa,164.312.b
19074,tsc,CC5.2
19075,cis,3.1.1
19075,cis_csc,9.4
19075,pci_dss,2.2.3
19075,nist_800_53,CM.1
19075,gpg_13,4.3
19075,gdpr_IV,35.7.d
19075,hipaa,164.312.b
19075,tsc,"CC6.6,CC5.2"
19076,cis,3.6
19076,cis_csc,"15.4,15.5"
19076,pci_dss,1.2.3
19076,tsc,CC6.6
19077,cis,3.2.1
19077,cis_csc,5.1
19077,pci_dss,2.2.4
19077,nist_800_53,CM.1
19077,tsc,CC5.2
19078,cis,3.2.2
19078,cis_csc,5.1
19078,pci_dss,2.2.4
19078,nist_800_53,CM.1
19078,tsc,CC5.2
19079,cis,3.3.1
19079,cis_csc,5.1
19079,pci_dss,2.2.4
19079,nist_800_53,CM.1
19079,tsc,CC5.2
19080,cis,3.3.2
19080,cis_csc,5.1
19080,pci_dss,2.2.4
19080,nist_800_53,CM.1
19080,tsc,CC5.2
19081,cis,3.3.3
19081,cis_csc,5.1
19081,pci_dss,2.2.4
19081,nist_800_53,CM.1
19081,tsc,CC5.2
19082,cis,3.3.4
19082,cis_csc,"6.2,6.3"
19082,pci_dss,2.2.4
19082,nist_800_53,CM.1
19082,tsc,CC5.2
19083,cis,3.3.5
19083,cis_csc,5.1
19083,pci_dss,2.2.4
19083,nist_800_53,CM.1
19083,tsc,CC5.2
19084,cis,3.3.6
19084,cis_csc,5.1
19084,pci_dss,2.2.4
19084,nist_800_53,CM.1
19084,tsc,CC5.2
19085,cis,3.3.7
19085,cis_csc,5.1
19085,pci_dss,2.2.4
19085,nist_800_53,CM.1
19085,tsc,CC5.2
19086,cis,3.3.8
19086,cis_csc,5.1
19086,pci_dss,2.2.4
19086,nist_800_53,CM.1
19086,tsc,CC5.2
19087,cis,3.3.9
19087,cis_csc,5.1
19087,pci_dss,2.2.3
19087,nist_800_53,CM.1
19087,gpg_13,4.3
19087,gdpr_IV,35.7.d
19087,hipaa,164.312.b
19087,tsc,CC5.2
19088,cis,3.4.1
19088,cis_csc,9.2
19088,pci_dss,2.2.3
19088,nist_800_53,CM.1
19088,gpg_13,4.3
19088,gdpr_IV,35.7.d
19088,hipaa,164.312.b
19088,tsc,CC5.2
19089,cis,3.4.2
19089,cis_csc,9.2
19089,pci_dss,2.2.3
19089,nist_800_53,CM.1
19089,gpg_13,4.3
19089,gdpr_IV,35.7.d
19089,hipaa,164.312.b
19089,tsc,CC5.2
19090,cis,3.4.3
19090,cis_csc,9.2
19090,pci_dss,2.2.3
19090,nist_800_53,CM.1
19090,gpg_13,4.3
19090,gdpr_IV,35.7.d
19090,hipaa,164.312.b
19090,tsc,CC5.2
19091,cis,3.4.4
19091,cis_csc,9.2
19091,pci_dss,2.2.3
19091,nist_800_53,CM.1
19091,gpg_13,4.3
19091,gdpr_IV,35.7.d
19091,hipaa,164.312.b
19091,tsc,CC5.2
19092,cis,"3.5.1.1,3.5.2.1,3.5.3.1.1"
19092,cis_csc,9.4
19092,pci_dss,1.2.1
19092,tsc,CC8.1
19093,cis,3.5.1.2
19093,cis_csc,9.4
19093,pci_dss,1.2.1
19093,tsc,CC8.1
19094,cis,3.5.1.3
19094,cis_csc,9.4
19094,pci_dss,1.2.1
19094,tsc,CC8.1
19095,cis,3.5.1.4
19095,cis_csc,9.4
19095,pci_dss,1.2.1
19095,tsc,CC8.1
19096,cis,3.5.1.7
19096,cis_csc,9.4
19096,pci_dss,1.2.1
19096,tsc,CC8.1
19097,cis,3.5.2.2
19097,cis_csc,9.4
19097,pci_dss,1.2.1
19097,tsc,CC8.1
19098,cis,3.5.2.4
19098,cis_csc,9.4
19098,pci_dss,1.2
19098,tsc,CC6.6
19099,cis,3.5.2.5
19099,cis_csc,9.4
19099,pci_dss,1.2
19099,tsc,CC6.6
19100,cis,3.5.2.6
19100,cis_csc,9.4
19100,pci_dss,1.2
19100,tsc,CC6.6
19101,cis,3.5.2.8
19101,cis_csc,9.4
19101,pci_dss,1.2.1
19101,tsc,CC6.6
19102,cis,3.5.2.9
19102,cis_csc,9.4
19102,pci_dss,1.2
19102,tsc,CC6.6
19103,cis,3.5.3.1.2
19103,cis_csc,9.4
19103,pci_dss,1.2.1
19103,tsc,CC6.6
19104,cis,3.5.3.1.3
19104,cis_csc,9.4
19104,pci_dss,1.2.1
19104,tsc,CC6.6
19105,cis,3.5.3.2.3
19105,cis_csc,9.4
19105,pci_dss,1.2.1
19105,tsc,CC6.6
19106,cis,3.5.3.2.1
19106,cis_csc,9.4
19106,pci_dss,1.2.1
19106,tsc,CC6.6
19107,cis,3.5.3.3.3
19107,cis_csc,9.4
19107,pci_dss,1.2.1
19107,tsc,CC8.1
19108,cis,3.5.3.3.1
19108,cis_csc,9.4
19108,pci_dss,1.2.1
19108,tsc,CC8.1
19109,cis,4.1.1.1
19109,cis_csc,"6.2,6.3"
19109,pci_dss,10.1
19109,nist_800_53,AU.2
19109,hipaa,164.312.b
19109,tsc,"CC6.1,CC6.2,CC6.3,CC7.2,CC7.3,CC7.4"
19110,cis,4.1.1.2
19110,cis_csc,"6.2,6.3"
19110,pci_dss,"10.1,10.7"
19110,nist_800_53,AU.2
19110,hipaa,164.312.b
19110,tsc,"CC6.1,CC6.2,CC6.3,CC7.2,CC7.3,CC7.4"
19111,cis,4.1.1.3
19111,cis_csc,"6.2,6.3"
19111,pci_dss,"10.2.6,10.7"
19111,nist_800_53,AU.2
19111,gpg_13,7.9
19111,gdpr_IV,"35.7.d,32.2"
19111,hipaa,164.312.b
19111,tsc,"CC6.1,CC6.8,CC7.2,CC7.3,CC7.4"
19112,cis,4.1.2.1
19112,cis_csc,6.4
19112,pci_dss,10.7
19112,nist_800_53,AU.4
19112,hipaa,164.312.b
19113,cis,4.1.2.2
19113,cis_csc,6.4
19113,pci_dss,10.7
19113,nist_800_53,AU.9
19113,hipaa,164.312.b
19114,cis,4.1.2.3
19114,cis_csc,6.4
19114,pci_dss,10.7
19115,cis,4.1.3
19115,cis_csc,5.5
19115,pci_dss,"10.4.2,10.2.7"
19115,nist_800_53,"AU.14,AU.6"
19115,gpg_13,7.9
19115,gdpr_IV,"32.2,35.7.d"
19115,hipaa,164.312.b
19115,tsc,"CC6.1,CC6.8,CC7.2,CC7.3,CC7.4"
19116,cis,4.1.4
19116,cis_csc,4.8
19116,pci_dss,10.2.5
19116,hipaa,164.312.b
19116,nist_800_53,"AU.14,AC.7"
19116,gpg_13,7.8
19116,gdpr_IV,"35.7,32.2"
19116,tsc,"CC6.1,CC6.8,CC7.2,CC7.3,CC7.4"
19117,cis,4.1.5
19117,cis_csc,5.5
19117,pci_dss,10.2.5
19117,hipaa,164.312.b
19117,nist_800_53,"AU.14,AC.7"
19117,gpg_13,7.8
19117,gdpr_IV,"35.7,32.2"
19117,tsc,"CC6.1,CC6.8,CC7.2,CC7.3,CC7.4"
19118,cis,4.1.6
19118,cis_csc,5.5
19118,pci_dss,10.2.5
19118,hipaa,164.312.b
19118,nist_800_53,"AU.14,AC.7"
19118,gpg_13,7.8
19118,gdpr_IV,"35.7,32.2"
19118,tsc,"CC6.1,CC6.8,CC7.2,CC7.3,CC7.4"
19119,cis,4.1.7
19119,cis_csc,"4.9,16.11,16.13"
19119,pci_dss,"10.2.1,10.2.4,10.3"
19119,nist_800_53,"AC.7,AU.14"
19119,gpg_13,7.8
19119,gdpr_IV,"32.2,35.7.d"
19119,hipaa,164.312.b
19119,tsc,"CC6.1,CC6.8,CC7.2,CC7.3,CC7.4"
19120,cis,4.1.8
19120,cis_csc,"4.9,16.11,16.13"
19120,pci_dss,10.3
19120,nist_800_53,"AC.7,AU.14"
19120,hipaa,164.312.b
