id_check,type,rule
26000,command,c:net.exe accounts -> n:Length of password history maintained:\s+(\d+) compare >= 24
26001,command,c:net.exe accounts -> n:Maximum password age \(days\):\s+(\d+) compare <= 365
26001,command,c:net.exe accounts -> n:Maximum password age \(days\):\s+(\d+) compare > 0
26002,command,c:net.exe accounts -> n:Minimum password age \(days\):\s+(\d+) compare >= 1
26004,command,c:powershell Get-ADDefaultDomainPasswordPolicy -Current LoggedOnUser -> r:ComplexityEnabled\s+: True
26003,command,c:net.exe accounts -> n:Minimum password length:\s+(\d+) compare >= 14
26006,command,c:net.exe accounts -> n:Lockout duration \(minutes\):\s+(\d+) compare >= 15
26005,registry,r:HKEY_LOCAL_MACHINE\System\CurrentControlSet\Control\SAM
26005,registry,r:HKEY_LOCAL_MACHINE\System\CurrentControlSet\Control\SAM -> RelaxMinimumPasswordLengthLimits
26005,registry,r:HKEY_LOCAL_MACHINE\System\CurrentControlSet\Control\SAM -> RelaxMinimumPasswordLengthLimits -> 1
26007,command,c:net.exe accounts -> n:Lockout threshold:\s+(\d+) compare > 0
26007,command,c:net.exe accounts -> n:Lockout threshold:\s+(\d+) compare <= 5
26008,command,c:net.exe accounts -> n:Lockout observation window \(minutes\):\s+(\d+) compare >= 15
26009,command,c:net user administrator -> r:Account active\s+No
26009,command,c:net user administrator -> r:The user name could not be found.
26010,registry,r:HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\Policies\System
26010,registry,r:HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\Policies\System -> NoConnectedUser
26010,registry,r:HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\Policies\System -> NoConnectedUser -> 3
26011,command,c:net user guest -> r:Account active\s+No
26012,numeric,not r:HKEY_LOCAL_MACHINE\System\CurrentControlSet\Control\Lsa -> LimitBlankPasswordUse
26012,registry,r:HKEY_LOCAL_MACHINE\System\CurrentControlSet\Control\Lsa -> LimitBlankPasswordUse -> 1
26014,command,c:net user guest -> r:The user name could not be found.
26013,command,c:net user administrator -> r:The user name could not be found.
26016,numeric,not r:HKEY_LOCAL_MACHINE\System\CurrentControlSet\Control\Lsa
26016,numeric,not r:HKEY_LOCAL_MACHINE\System\CurrentControlSet\Control\Lsa -> CrashOnAuditFail
26016,registry,r:HKEY_LOCAL_MACHINE\System\CurrentControlSet\Control\Lsa -> CrashOnAuditFail -> 0
26017,registry,r:HKEY_LOCAL_MACHINE\Software\Microsoft\Windows NT\CurrentVersion\Winlogon
26017,registry,r:HKEY_LOCAL_MACHINE\Software\Microsoft\Windows NT\CurrentVersion\Winlogon -> AllocateDASD
26017,registry,r:HKEY_LOCAL_MACHINE\Software\Microsoft\Windows NT\CurrentVersion\Winlogon -> AllocateDASD -> 2
26015,numeric,not r:HKEY_LOCAL_MACHINE\System\CurrentControlSet\Control\Lsa
26015,numeric,not r:HKEY_LOCAL_MACHINE\System\CurrentControlSet\Control\Lsa -> SCENoApplyLegacyAuditPolicy
26015,registry,r:HKEY_LOCAL_MACHINE\System\CurrentControlSet\Control\Lsa -> SCENoApplyLegacyAuditPolicy -> 1
26018,registry,r:HKEY_LOCAL_MACHINE\System\CurrentControlSet\Control\Print\Providers\LanMan Print Services\Servers
26018,registry,r:HKEY_LOCAL_MACHINE\System\CurrentControlSet\Control\Print\Providers\LanMan Print Services\Servers -> AddPrinterDrivers
26018,registry,r:HKEY_LOCAL_MACHINE\System\CurrentControlSet\Control\Print\Providers\LanMan Print Services\Servers -> AddPrinterDrivers -> 1
26019,numeric,not r:HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\Netlogon\Parameters
26021,numeric,not r:HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\Netlogon\Parameters
26019,numeric,not r:HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\Netlogon\Parameters -> RequireSignOrSeal
26021,numeric,not r:HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\Netlogon\Parameters -> SignSecureChannel
26020,numeric,not r:HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\Netlogon\Parameters
26019,registry,r:HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\Netlogon\Parameters -> RequireSignOrSeal -> 1
26020,numeric,not r:HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\Netlogon\Parameters -> SealSecureChannel
