scan_id,scan_time,format,name,priority,section,size,vendor,install_time,version,architecture,multiarch,source,description,location,triaged,cpe,msu_name,checksum,item_id
0,2023/04/12 05:03:23,win,AnyDesk,,,0,AnyDesk Software GmbH,,ad 7.0.14,i686,,,,"""C:\Program Files (x86)\AnyDesk""",0,,,8d697d622f9d16c7f9afc6adc9ef75f040f82795,00fbe4f0ffc36881f9c95e51bb9823a6121d02b1
0,2023/04/12 05:03:23,win,Microsoft Edge WebView2 Runtime,,,0,Microsoft Corporation,20230409,112.0.1722.34,i686,,,,C:\Program Files (x86)\Microsoft\EdgeWebView\Application,0,,,89eb5e5d1d9946bbda726a6ebb59d75c19206103,12abb6bfea83094b0facd36434e7aab40f5c58be
0,2023/04/12 05:03:23,win,Microsoft Update Health Tools,,,0,Microsoft Corporation,20230126,5.69.0.0,x86_64,,,,,0,,,d664606fb825186b8de6827a36d6d9f794b3b6ae,16930fd77564a442beb7404c302d16e0536aa739
0,2023/04/12 05:03:23,win,Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.6161,,,0,Microsoft Corporation,20211104,9.0.30729.6161,i686,,,,,0,,,fd8d72025e67b585122e2c2aa878e48d264acd40,1a32a6869be36ada540ba66cc48af3ed69bffe33
0,2023/04/12 05:03:23,win,Wazuh Agent,,,0,"Wazuh, Inc.",20230412,4.3.10,i686,,,,,0,,,f78554ae1d9e96ac2759e0f8890f917aed4d69e6,346c7a0f5278b7d581cf90c7eac127d2231e59f6
0,2023/04/12 05:03:24,win,Notepad++ (32-bit x86),,,0,Notepad++ Team,,8.1.9,i686,,,,,0,,,4b697f8877f85438f47cf530c6623f117584dbee,43143c9c8f844d65445d99635b6f13ceafc51eeb
0,2023/04/12 05:03:24,win,Update for Windows 10 for x64-based Systems (KB5001716),,,0,Microsoft Corporation,20221111,8.91.0.0,x86_64,,,,,0,,,0ab300be21b7b86222375a19eb1f54f1d4927ce9,5154fee5e035d1df77bc0c0f65d3b6d763f60b9b
0,2023/04/12 05:03:24,win,Teams Machine-Wide Installer,,,0,Microsoft Corporation,20220906,1.5.0.8070,i686,,,,,0,,,d2dd1c92351a4a06bdf9209735b3d91cdeac2e61,5238ad98da7b3e1dca7ec726d2a114750dee1248
0,2023/04/12 05:03:24,win,Google Chrome,,,0,Google LLC,20211104,111.0.5563.147,x86_64,,,,,0,,,c53a96e0487c5318d27a4456cbca088db669c9fc,6f401df6f9551c00bca52037d3e269621ffdee15
0,2023/04/12 05:03:24,win,Office 16 Click-to-Run Licensing Component,,,0,Microsoft Corporation,20230409,16.0.16227.20204,x86_64,,,,,0,,,60131662915661125c0916891b2cb1216ee05992,6f5172e87ba45bb2b400ab707734d24d7a9001a1
0,2023/04/12 05:03:24,win,VLC media player,,,0,VideoLAN,,3.0.16,x86_64,,,,C:\Program Files\VideoLAN\VLC,0,,,517661aa5a36ab32bac8fe7da3d682f85d40f537,796abfbfdd37caaef890fe3be5f60b85e38876b0
0,2023/04/12 05:03:24,win,NVIDIA Graphics Driver 472.19,,,0,NVIDIA Corporation,20220901,472.19,x86_64,,,,C:\Program Files\NVIDIA Corporation\Installer2\Display.Driver.{F84C3863-C585-46EE-B5B3-A8BE0F841EE3},0,,,e654db864a8d4865c1befe7073c4a6aec66d1c1a,8f79aeb1e3210beef86cc01e57871cf0a72566e7
0,2023/04/12 05:03:24,win,Microsoft 365 Apps for enterprise - en-us,,,0,Microsoft Corporation,,16.0.16227.20258,x86_64,,,,C:\Program Files\Microsoft Office,0,,,99e9dd81f9a33adf2e6e3c73f183ebffea620680,93251372dccbee49129572fa78144cd0302adc32
0,2023/04/12 05:03:24,win,Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.6161,,,0,Microsoft Corporation,20211104,9.0.30729.6161,x86_64,,,,,0,,,bbd324e91815a7b8512e6422de08bb4323c60316,a01a828747879ede99fbb5a7326cbe62a43b5854
0,2023/04/12 05:03:25,win,Webex,,,0,"Cisco Systems, Inc",20220921,42.9.0.23494,x86_64,,,,C:\Users\meidiana.ajeng_mekar\AppData\Local\Programs\Cisco Spark\,0,,,c0400e95b048b634d97bcc58b8f73c76e5dafd21,a01f845e49b7e84cb62a5e5a4699837265596acd
0,2023/04/12 05:03:25,win,Microsoft Edge Update,,,0,,,1.3.173.55,i686,,,,,0,,,8c5d332b49cd4930959ab198d2b19c01c0332fe3,a608d1efe707eb3e51bbbf671e096e1cd529c055
0,2023/04/12 05:03:25,win,Microsoft OneDrive,,,0,Microsoft Corporation,,23.061.0319.0003,x86_64,,,,,0,,,66f25a081ab7dfbbb06515c163f0f8994b999e09,c0d64b2361f66de8e3013caadf8c77b94b626290
0,2023/04/12 05:03:25,win,NVIDIA PhysX System Software 9.21.0713,,,0,NVIDIA Corporation,20220901,9.21.0713,x86_64,,,,C:\Program Files (x86)\NVIDIA Corporation\PhysX,0,,,e73f874e6058f00e6bbed9aa1ca84a73d8371193,c1db931af0d6a2ec7e8c7911039b6c5c35329418
0,2023/04/12 05:03:25,win,Microsoft Edge,,,0,Microsoft Corporation,20230412,112.0.1722.39,i686,,,,C:\Program Files (x86)\Microsoft\Edge\Application,0,,,bdb3b3f086b9b756e144fa8664ca9780e5fd1bac,c60a3f3bf3b104fb804c6737d33a34f8498a1a9c
0,2023/04/12 05:03:25,win,WinRAR 6.02 (64-bit),,,0,win.rar GmbH,,6.02.0,x86_64,,,,C:\Program Files\WinRAR\,0,,,ef609109cf37e7e15233a95588a90895962ddd49,c82fbda1fb8be709fbe10cf6ebdd65405c50dbaa
0,2023/04/12 05:03:26,win,NVIDIA Install Application,,,0,NVIDIA Corporation,20220901,2.1002.357.0,x86_64,,,,C:\Program Files\NVIDIA Corporation\Installer2\InstallerCore,0,,,6853f49da68fbef5f99705ea187ddc68189f989e,da3d3783dac01ab0921758d3e637ba50540eff34
0,2023/04/12 05:03:26,win,Google Credential Provider for Windows,,,0,Google LLC,20220902,68.127.32824,x86_64,,,,,0,,,110bdbfc1db80fa107c5b3c484011a7483bf40bf,db4558bf479b276aaf17b31b16a30ce54ec8db8e
